|Posición|Descripcion|conc
0|010110|Caballos, asnos, mulos y burdéganos, vivos : Reproductores de raza pura|010110 - Caballos, asnos, mulos y burdéganos, vivos : Reproductores de raza pura
1|010111|Caballos reproductores de raza pura.|010111 - Caballos reproductores de raza pura.
2|010119|Los demas caballos vivos.|010119 - Los demas caballos vivos.
3|010120|Asnos, mulos y burdeganos, vivos.|010120 - Asnos, mulos y burdeganos, vivos.
4|010121|Caballos reproductores de raza pura|010121 - Caballos reproductores de raza pura
5|010129|Caballos vivos (excepto los de pura raza para reproducción)|010129 - Caballos vivos (excepto los de pura raza para reproducción)
6|010130|Asnos vivos|010130 - Asnos vivos
7|010190|Mulos y burdéganos, vivos|010190 - Mulos y burdéganos, vivos
8|010210|Animales vivos de la especie bovina : Reproductores de raza pura|010210 - Animales vivos de la especie bovina : Reproductores de raza pura
9|010221|De pura raza para la cría de ganado|010221 - De pura raza para la cría de ganado
10|010229|Animales vivos (excepto los de pura raza para reproducción)|010229 - Animales vivos (excepto los de pura raza para reproducción)
11|010231|De raza pura para la cría de búfalos|010231 - De raza pura para la cría de búfalos
12|010239|Búfalos vivos (excepto de raza pura para reproducción)|010239 - Búfalos vivos (excepto de raza pura para reproducción)
13|010290|Los bovinos vivos (excepto ganado y búfalos)|010290 - Los bovinos vivos (excepto ganado y búfalos)
14|010310|Porcinos reproductores de raza pura|010310 - Porcinos reproductores de raza pura
15|010391|Porcinos vivos, de peso < 50 kg (exc. reproductores de raza pura)|010391 - Porcinos vivos, de peso < 50 kg (exc. reproductores de raza pura)
16|010392|Porcinos vivos de peso >= 50 kg (exc. reproductores de raza pura)|010392 - Porcinos vivos de peso >= 50 kg (exc. reproductores de raza pura)
17|010410|Ovinos vivos|010410 - Ovinos vivos
18|010420|Caprinos vivos|010420 - Caprinos vivos
19|010511|Gallos y gallinas de las especies domésticas, vivos, de peso <= 185 g|010511 - Gallos y gallinas de las especies domésticas, vivos, de peso <= 185 g
20|010512|"Pavos ""gallipavos"" de las especies domésticas, vivos, de peso <= 185 g"|"010512 - Pavos ""gallipavos"" de las especies domésticas, vivos, de peso <= 185 g"
21|010513|Patos vivos domésticos, de peso <= 185 g|010513 - Patos vivos domésticos, de peso <= 185 g
22|010514|Gansos de las especies domésticas, vivos, de peso <= 185 g|010514 - Gansos de las especies domésticas, vivos, de peso <= 185 g
23|010515|Pintadas domésticas vivas, de peso <= 185 g|010515 - Pintadas domésticas vivas, de peso <= 185 g
24|010519|Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, ...|010519 - Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, ...
25|010592|Gallos y gallinas de las especies domésticas, vivos, de peso > 185 g pero <= 2 kg|010592 - Gallos y gallinas de las especies domésticas, vivos, de peso > 185 g pero <= 2 kg
26|010593|Gallos y gallinas de las especies domésticas, vivos, de peso > 2 kg|010593 - Gallos y gallinas de las especies domésticas, vivos, de peso > 2 kg
27|010594|Gallos y gallinas de las especies domésticas, vivos, de peso > 185 g|010594 - Gallos y gallinas de las especies domésticas, vivos, de peso > 185 g
28|010599|"Patos, gansos, pavos ""gallipavos"" y pintadas de las especies domésticas, vivos, de peso > 185 ..."|"010599 - Patos, gansos, pavos ""gallipavos"" y pintadas de las especies domésticas, vivos, de peso > 185 ..."
29|010600|Los demas animales vivos.|010600 - Los demas animales vivos.
30|010611|Primates vivos|010611 - Primates vivos
31|010612|Ballenas vivas, delfines y marsopas (mamíferos del orden Cetáceos); los manatíes y dugongos ...|010612 - Ballenas vivas, delfines y marsopas (mamíferos del orden Cetáceos); los manatíes y dugongos ...
32|010613|Camellos y otros camélidos vivos [Camélidos]|010613 - Camellos y otros camélidos vivos [Camélidos]
33|010614|Conejos y liebres vivas|010614 - Conejos y liebres vivas
34|010619|Mamíferos vivos (exc. ??primates, ballenas, delfines y marsopas, manatíes y dugongos, focas, ...|010619 - Mamíferos vivos (exc. ??primates, ballenas, delfines y marsopas, manatíes y dugongos, focas, ...
35|010620|Reptiles, incl. las serpientes y las tortugas de mar, vivos|010620 - Reptiles, incl. las serpientes y las tortugas de mar, vivos
36|010631|Aves de rapiña, vivas|010631 - Aves de rapiña, vivas
37|010632|Psitaciformes, incl. los loros, guacamayos, cacatúas y demás papagayos|010632 - Psitaciformes, incl. los loros, guacamayos, cacatúas y demás papagayos
38|010633|Avestruces vivos, y emúes [Dromaius novaehollandiae]|010633 - Avestruces vivos, y emúes [Dromaius novaehollandiae]
39|010639|Aves vivas (excepto las aves de rapiña, psitaciformes, loros, pericos, guacamayos, cacatúas, ...|010639 - Aves vivas (excepto las aves de rapiña, psitaciformes, loros, pericos, guacamayos, cacatúas, ...
40|010641|Abejas vivas|010641 - Abejas vivas
41|010649|Los insectos vivos (abejas excl.)|010649 - Los insectos vivos (abejas excl.)
42|010690|Animales vivos (exc. ??mamíferos, reptiles, aves, insectos, peces, crustáceos, moluscos y demás ...|010690 - Animales vivos (exc. ??mamíferos, reptiles, aves, insectos, peces, crustáceos, moluscos y demás ...
43|020110|Canales o medias canales, de bovinos, frescas o refrigeradas|020110 - Canales o medias canales, de bovinos, frescas o refrigeradas
44|020120|"Cortes ""trozos"" de bovinos, sin deshuesar, frescos o refrigerados (exc. canales o medias canales)"|"020120 - Cortes ""trozos"" de bovinos, sin deshuesar, frescos o refrigerados (exc. canales o medias canales)"
45|020130|Carne deshuesada, de bovinos, fresca o refrigerada|020130 - Carne deshuesada, de bovinos, fresca o refrigerada
46|020210|Canales o medias canales, de bovinos, congeladas|020210 - Canales o medias canales, de bovinos, congeladas
47|020220|Trozos de bovinos, sin deshuesar, congelados (exc. canales o medias canales)|020220 - Trozos de bovinos, sin deshuesar, congelados (exc. canales o medias canales)
48|020230|Carne deshuesada, de bovinos, congelada|020230 - Carne deshuesada, de bovinos, congelada
49|020311|Canales o medias canales, de porcinos, frescas o refrigeradas|020311 - Canales o medias canales, de porcinos, frescas o refrigeradas
50|020312|Piernas, paletas, y sus trozos, sin deshuesar, de porcinos, frescos o refrigerados|020312 - Piernas, paletas, y sus trozos, sin deshuesar, de porcinos, frescos o refrigerados
51|020319|Carne de porcinos, fresca o refrigerada (exc. canales o medias canales, así como piernas, paletas ...|020319 - Carne de porcinos, fresca o refrigerada (exc. canales o medias canales, así como piernas, paletas ...
52|020321|Canales o medias canales de porcinos, congeladas|020321 - Canales o medias canales de porcinos, congeladas
53|020322|Piernas, paletas, y sus trozos, sin deshuesar, de porcinos, congelados, incluidos los huesos.|020322 - Piernas, paletas, y sus trozos, sin deshuesar, de porcinos, congelados, incluidos los huesos.
54|020329|Carne de porcinos, congelada (exc. canales o medias canales, así como piernas, paletas y sus ...|020329 - Carne de porcinos, congelada (exc. canales o medias canales, así como piernas, paletas y sus ...
55|020410|Canales o medias canales de cordero, frescas o refrigeradas|020410 - Canales o medias canales de cordero, frescas o refrigeradas
56|020421|Canales o medias canales de ovinos, frescas o refrigeradas (exc. corderos)|020421 - Canales o medias canales de ovinos, frescas o refrigeradas (exc. corderos)
57|020422|"Cortes ""trozos"" de ovinos, sin deshuesar, frescos o refrigerados (exc. canales o medias canales)"|"020422 - Cortes ""trozos"" de ovinos, sin deshuesar, frescos o refrigerados (exc. canales o medias canales)"
58|020423|Carnes deshuesadas de ovinos, frescas o refrigeradas|020423 - Carnes deshuesadas de ovinos, frescas o refrigeradas
59|020430|Canales o medias canales, de cordero, congeladas|020430 - Canales o medias canales, de cordero, congeladas
60|020441|Canales o medias canales, de ovinos, congeladas (exc. corderos)|020441 - Canales o medias canales, de ovinos, congeladas (exc. corderos)
61|020442|"Cortes ""trozos"" de ovinos, sin deshuesar, congelados (exc. canales o medias canales)"|"020442 - Cortes ""trozos"" de ovinos, sin deshuesar, congelados (exc. canales o medias canales)"
62|020443|Carnes deshuesadas de ovinos, congeladas|020443 - Carnes deshuesadas de ovinos, congeladas
63|020450|Carne de caprinos, fresca, refrigerada o congelada|020450 - Carne de caprinos, fresca, refrigerada o congelada
64|020500|Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada|020500 - Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada
65|020610|Despojos de bovinos, comestibles, frescos o refrigerados|020610 - Despojos de bovinos, comestibles, frescos o refrigerados
66|020621|Lenguas de bovinos, comestibles, congeladas|020621 - Lenguas de bovinos, comestibles, congeladas
67|020622|Hígados de bovinos, comestibles, congelados|020622 - Hígados de bovinos, comestibles, congelados
68|020629|Despojos de bovinos, comestibles, congelados (exc. lenguas e hígados)|020629 - Despojos de bovinos, comestibles, congelados (exc. lenguas e hígados)
69|020630|Despojos de porcinos, comestibles, frescos o refrigerados|020630 - Despojos de porcinos, comestibles, frescos o refrigerados
70|020641|Hígados de porcinos, comestibles, congelados|020641 - Hígados de porcinos, comestibles, congelados
71|020649|Despojos de porcino, comestibles, congelados (exc. los hígados)|020649 - Despojos de porcino, comestibles, congelados (exc. los hígados)
72|020680|Despojos de animales de las especies ovina, caprina, caballar, asnal o mular, comestibles, ...|020680 - Despojos de animales de las especies ovina, caprina, caballar, asnal o mular, comestibles, ...
73|020690|Despojos de animales de las especies ovina, caprina, caballar, asnal o mular, comestibles, ...|020690 - Despojos de animales de las especies ovina, caprina, caballar, asnal o mular, comestibles, ...
74|020711|Gallos y gallinas de especies domésticas, sin trocear, frescos o refrigerados|020711 - Gallos y gallinas de especies domésticas, sin trocear, frescos o refrigerados
75|020712|Gallos y gallinas de especies domésticas, sin trocear, congelados|020712 - Gallos y gallinas de especies domésticas, sin trocear, congelados
76|020713|Trozos y despojos comestibles, de gallo o de gallina, de especies domésticas, frescos o re ...|020713 - Trozos y despojos comestibles, de gallo o de gallina, de especies domésticas, frescos o re ...
77|020714|Trozos y despojos comestibles, de gallo o de gallina, de especies domésticas, congelados|020714 - Trozos y despojos comestibles, de gallo o de gallina, de especies domésticas, congelados
78|020724|"Pavos ""gallipavos"" de especies domésticas, sin trocear, frescos o refrigerados"|"020724 - Pavos ""gallipavos"" de especies domésticas, sin trocear, frescos o refrigerados"
79|020725|"Pavos ""gallipavos"" de especies domésticas, sin trocear, congelados"|"020725 - Pavos ""gallipavos"" de especies domésticas, sin trocear, congelados"
80|020726|"Trozos y despojos comestibles, de pavo ""gallipavo"", de especies domésticas, frescos o refrigerados"|"020726 - Trozos y despojos comestibles, de pavo ""gallipavo"", de especies domésticas, frescos o refrigerados"
81|020727|"Trozos y despojos comestibles, de pavo ""gallipavo"", de especies domésticas, congelados"|"020727 - Trozos y despojos comestibles, de pavo ""gallipavo"", de especies domésticas, congelados"
82|020732|Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...|020732 - Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...
83|020733|Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...|020733 - Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...
84|020734|Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...|020734 - Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...
85|020735|Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...|020735 - Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...
86|020736|Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...|020736 - Carne y despojos comestibles, de aves de la partida 0105, frescos, refrigerados o congelados ...
87|020741|Patos domésticos, fresca o refrigerada, sin trocear|020741 - Patos domésticos, fresca o refrigerada, sin trocear
88|020742|Patos domésticos congelados, sin trocear|020742 - Patos domésticos congelados, sin trocear
89|020743|Hígados grasos de patos domésticos, frescos o refrigerados|020743 - Hígados grasos de patos domésticos, frescos o refrigerados
90|020744|Carne fresca o refrigerada y despojos comestibles de patos domésticos (exc. ??hígados grasos)|020744 - Carne fresca o refrigerada y despojos comestibles de patos domésticos (exc. ??hígados grasos)
91|020745|De carne congelada y despojos comestibles de patos domésticos|020745 - De carne congelada y despojos comestibles de patos domésticos
92|020751|Gansos domésticos, fresca o refrigerada, sin trocear|020751 - Gansos domésticos, fresca o refrigerada, sin trocear
93|020752|Gansos domésticos congelados, sin trocear|020752 - Gansos domésticos congelados, sin trocear
94|020753|Los hígados grasos de ganso doméstico, frescos o refrigerados|020753 - Los hígados grasos de ganso doméstico, frescos o refrigerados
95|020754|Carne fresca o refrigerada y despojos comestibles de los gansos domésticos (exc. ??hígados ...|020754 - Carne fresca o refrigerada y despojos comestibles de los gansos domésticos (exc. ??hígados ...
96|020755|De carne congelada y despojos comestibles de los gansos domésticos|020755 - De carne congelada y despojos comestibles de los gansos domésticos
97|020760|Carne y despojos comestibles de pintadas domésticas, frescas, refrigeradas o congeladas|020760 - Carne y despojos comestibles de pintadas domésticas, frescas, refrigeradas o congeladas
98|020810|Carne y despojos comestibles, de conejo o de liebre, frescos, refrigerados o congelados|020810 - Carne y despojos comestibles, de conejo o de liebre, frescos, refrigerados o congelados
99|020820|"Ancas ""patas"" de rana, frescas, refrigeradas o congeladas"|"020820 - Ancas ""patas"" de rana, frescas, refrigeradas o congeladas"
100|020830|Carne y despojos comestibles de primates, frescos, refrigerados o congelados|020830 - Carne y despojos comestibles de primates, frescos, refrigerados o congelados
101|020840|Fresca, refrigerada o congelada y despojos comestibles de ballenas, delfines y marsopas (mamíferos ...|020840 - Fresca, refrigerada o congelada y despojos comestibles de ballenas, delfines y marsopas (mamíferos ...
102|020850|Carne y despojos comestibles de reptiles, incl. las serpientes y las tortugas de mar, frescos, ...|020850 - Carne y despojos comestibles de reptiles, incl. las serpientes y las tortugas de mar, frescos, ...
103|020860|Carne fresca, refrigerada o congelada y despojos comestibles de camellos y otros camélidos ...|020860 - Carne fresca, refrigerada o congelada y despojos comestibles de camellos y otros camélidos ...
104|020890|Carne fresca, refrigerada o congelada y despojos comestibles de palomas, la caza, de renos ...|020890 - Carne fresca, refrigerada o congelada y despojos comestibles de palomas, la caza, de renos ...
105|020900|Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, ...|020900 - Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, ...
106|020910|Manteca de cerdo, sin partes magras, sin fundir ni extraer de otro modo, frescos, refrigerados, ...|020910 - Manteca de cerdo, sin partes magras, sin fundir ni extraer de otro modo, frescos, refrigerados, ...
107|020990|Grasa de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados ...|020990 - Grasa de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados ...
108|021011|Jamones, paletas, y sus trozos, sin deshuesar, de porcinos, salados o en salmuera, secos o ...|021011 - Jamones, paletas, y sus trozos, sin deshuesar, de porcinos, salados o en salmuera, secos o ...
109|021012|"Tocino entreverado de panza ""panceta"" y sus trozos, de porcinos, salados o en salmuera, secos ..."|"021012 - Tocino entreverado de panza ""panceta"" y sus trozos, de porcinos, salados o en salmuera, secos ..."
110|021019|Carne de porcinos, salada o en salmuera, seca o ahumada (exc. piernas, paletas, y sus trozos, ...|021019 - Carne de porcinos, salada o en salmuera, seca o ahumada (exc. piernas, paletas, y sus trozos, ...
111|021020|Carne de bovinos, salada o en salmuera, seca o ahumada|021020 - Carne de bovinos, salada o en salmuera, seca o ahumada
112|021090|Los demas, incluidos la harina y el polvo comestible, de carne o despojos.|021090 - Los demas, incluidos la harina y el polvo comestible, de carne o despojos.
113|021091|Carne y despojos comestibles, salados o en salmuera, secos o ahumados, así como harina y polvo ...|021091 - Carne y despojos comestibles, salados o en salmuera, secos o ahumados, así como harina y polvo ...
114|021092|Carne y despojos comestibles, salados o en salmuera, secos o ahumados, y harina y polvo comestibles ...|021092 - Carne y despojos comestibles, salados o en salmuera, secos o ahumados, y harina y polvo comestibles ...
115|021093|Carne y despojos comestibles, salados o en salmuera, secos o ahumados, así como harina y polvo ...|021093 - Carne y despojos comestibles, salados o en salmuera, secos o ahumados, así como harina y polvo ...
116|021099|Carne y despojos comestibles, salados o en salmuera, secos o ahumados, y harina y polvo comestibles ...|021099 - Carne y despojos comestibles, salados o en salmuera, secos o ahumados, y harina y polvo comestibles ...
117|030110|Peces vivos : Peces ornamentales|030110 - Peces vivos : Peces ornamentales
118|030111|Peces ornamentales, de agua dulce, vivos|030111 - Peces ornamentales, de agua dulce, vivos
119|030119|Peces ornamentales vivos (agua dulce excl.)|030119 - Peces ornamentales vivos (agua dulce excl.)
120|030191|"Truchas ""Salmo trutta"", ""Oncorhynchus mykiss"", ""Oncorhynchus clarki"", ""Oncorhynchus aguabonita"", ..."|"030191 - Truchas ""Salmo trutta"", ""Oncorhynchus mykiss"", ""Oncorhynchus clarki"", ""Oncorhynchus aguabonita"", ..."
121|030192|"Anguilas vivas ""Anguilla spp."""|"030192 - Anguilas vivas ""Anguilla spp."""
122|030193|Carpa viva (Cyprinus carpio, Carassius carassius, idellus Ctenopharyngodon, Hypophthalmichthys ...|030193 - Carpa viva (Cyprinus carpio, Carassius carassius, idellus Ctenopharyngodon, Hypophthalmichthys ...
123|030194|Atún vivo del Atlántico y atún rojo del Pacífico (Thunnus thynnus, Thunnus orientalis)|030194 - Atún vivo del Atlántico y atún rojo del Pacífico (Thunnus thynnus, Thunnus orientalis)
124|030195|"Atún del sur, de aleta azul ""Thunnus maccoyii)"|"030195 - Atún del sur, de aleta azul ""Thunnus maccoyii)"
125|030199|Peces vivos (exc. ??peces ornamentales, la trucha [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...|030199 - Peces vivos (exc. ??peces ornamentales, la trucha [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...
126|030211|"Truchas ""Salmo trutta"", ""Oncorhynchus mykiss"", ""Oncorhynchus clarki"", ""Oncorhynchus aguabonita"", ..."|"030211 - Truchas ""Salmo trutta"", ""Oncorhynchus mykiss"", ""Oncorhynchus clarki"", ""Oncorhynchus aguabonita"", ..."
127|030212|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030212 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
128|030213|"Salmón del Pacífico fresco o refrigerado ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ..."|"030213 - Salmón del Pacífico fresco o refrigerado ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ..."
129|030214|"Salmón del Pacífico fresco o refrigerado del Atlantico ""Salmo salar"" y salmones del Danubio ..."|"030214 - Salmón del Pacífico fresco o refrigerado del Atlantico ""Salmo salar"" y salmones del Danubio ..."
130|030219|Salmónidos frescos o refrigerados (exc. truchas, salmones del Pacífico, salmones del Atlántico ...|030219 - Salmónidos frescos o refrigerados (exc. truchas, salmones del Pacífico, salmones del Atlántico ...
131|030221|"Halibut ""fletán"" ""Reinhardtius hippoglossoides"", ""Hippoglossus hippoglossus"" e ""Hippoglossus ..."|"030221 - Halibut ""fletán"" ""Reinhardtius hippoglossoides"", ""Hippoglossus hippoglossus"" e ""Hippoglossus ..."
132|030222|"Sollas ""Pleuronectes platessa"", frescas o refrigeradas"|"030222 - Sollas ""Pleuronectes platessa"", frescas o refrigeradas"
133|030223|"Lenguados ""Solea spp."", frescos o refrigerados"|"030223 - Lenguados ""Solea spp."", frescos o refrigerados"
134|030224|"Rodaballo fresco o refrigerado ""Psetta maxima"""|"030224 - Rodaballo fresco o refrigerado ""Psetta maxima"""
135|030229|"Pescados planos, frescos o refrigerados ""Pleuronectidae, Bótidos, Cynoglósidos, Soleidae, Escoftálmidos ..."|"030229 - Pescados planos, frescos o refrigerados ""Pleuronectidae, Bótidos, Cynoglósidos, Soleidae, Escoftálmidos ..."
136|030231|"Albacoras o atunes blancos ""Thunnus alalunga"", frescos o refrigerados"|"030231 - Albacoras o atunes blancos ""Thunnus alalunga"", frescos o refrigerados"
137|030232|"Atunes de aleta amarilla o rabiles ""Thunnus albacares"", frescos o refrigerados"|"030232 - Atunes de aleta amarilla o rabiles ""Thunnus albacares"", frescos o refrigerados"
138|030233|"Listados o bonitos de vientre rayado ""Euthynnus -Katsuwonus- pelamis"", frescos o refrigerados"|"030233 - Listados o bonitos de vientre rayado ""Euthynnus -Katsuwonus- pelamis"", frescos o refrigerados"
139|030234|"Patudos o atunes ojo grande ""Thunnus obesus"", frescos o refrigerados"|"030234 - Patudos o atunes ojo grande ""Thunnus obesus"", frescos o refrigerados"
140|030235|Frescas o refrigeradas, del Atlántico y el atún rojo del Pacífico (Thunnus thynnus, Thunnus ...|030235 - Frescas o refrigeradas, del Atlántico y el atún rojo del Pacífico (Thunnus thynnus, Thunnus ...
141|030236|"Atunes del sur ""Thunnus maccoyii"", frescos o refrigerados"|"030236 - Atunes del sur ""Thunnus maccoyii"", frescos o refrigerados"
142|030239|"Atunes frescos o refrigerados del género ""Thunnus"" (sin Thunnus alalunga, Thunnus albacares, ..."|"030239 - Atunes frescos o refrigerados del género ""Thunnus"" (sin Thunnus alalunga, Thunnus albacares, ..."
143|030240|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030240 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
144|030241|"Arenques frescos o refrigerados ""Clupea harengus, Clupea pallasii"""|"030241 - Arenques frescos o refrigerados ""Clupea harengus, Clupea pallasii"""
145|030242|"Anchoas ""Engraulis spp."", frescas o refrigeradas"|"030242 - Anchoas ""Engraulis spp."", frescas o refrigeradas"
146|030243|"Sardinas frescas o refrigeradas ""Sardina pilchardus, Sardinops spp."", Alacha ""Sardinella spp."" ..."|"030243 - Sardinas frescas o refrigeradas ""Sardina pilchardus, Sardinops spp."", Alacha ""Sardinella spp."" ..."
147|030244|"Caballas ""Scomber scombrus"", ""Scomber australasicus"", ""Scomber japonicus"", frescos o refrigerados"|"030244 - Caballas ""Scomber scombrus"", ""Scomber australasicus"", ""Scomber japonicus"", frescos o refrigerados"
148|030245|"Jack y el jurel ""Trachurus spp."" frescos o refrigerados"|"030245 - Jack y el jurel ""Trachurus spp."" frescos o refrigerados"
149|030246|"Cobia fresca o refrigerada ""Rachycentron canadum"""|"030246 - Cobia fresca o refrigerada ""Rachycentron canadum"""
150|030247|"Pez espada ""Xiphias gladius"", fresco o refrigerado"|"030247 - Pez espada ""Xiphias gladius"", fresco o refrigerado"
151|030249|Caballas de la India (Rastrelliger spp.), carites (Scomberomorus spp.), pámpanos (Caranx spp.), ...|030249 - Caballas de la India (Rastrelliger spp.), carites (Scomberomorus spp.), pámpanos (Caranx spp.), ...
152|030250|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030250 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
153|030251|"Bacalao fresco o refrigerado ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""|"030251 - Bacalao fresco o refrigerado ""Gadus morhua, Gadus ogac, Gadus macrocephalus"""
154|030252|"Eglefinos ""Melanogrammus aeglefinus"", frescos o refrigerados"|"030252 - Eglefinos ""Melanogrammus aeglefinus"", frescos o refrigerados"
155|030253|"Carboneros ""Pollachius virens "", frescos o refrigerados"|"030253 - Carboneros ""Pollachius virens "", frescos o refrigerados"
156|030254|"Merluza fresca o refrigerada ""Merluccius spp., Urophycis spp."""|"030254 - Merluza fresca o refrigerada ""Merluccius spp., Urophycis spp."""
157|030255|"Abadejo de Alaska ""Theragra chalcogramma"" frescos o refrigerados"|"030255 - Abadejo de Alaska ""Theragra chalcogramma"" frescos o refrigerados"
158|030256|"Bacaladilla ""Micromesistius poutassou, Micromesistius australis"" frescos o refrigerados"|"030256 - Bacaladilla ""Micromesistius poutassou, Micromesistius australis"" frescos o refrigerados"
159|030259|Pescado fresco o refrigerado de la Bregmacerotidae familias, Euclichthyidae, Gadidae, Macrouridae, ...|030259 - Pescado fresco o refrigerado de la Bregmacerotidae familias, Euclichthyidae, Gadidae, Macrouridae, ...
160|030261|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030261 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
161|030262|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030262 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
162|030263|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030263 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
163|030264|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030264 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
164|030265|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030265 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
165|030266|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030266 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
166|030267|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030267 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
167|030268|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030268 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
168|030269|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030269 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
169|030270|Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...|030270 - Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...
170|030271|"Tilapia fresca o refrigerada ""Oreochromis spp."""|"030271 - Tilapia fresca o refrigerada ""Oreochromis spp."""
171|030272|"Bagre frescos o refrigerados ""Pangasius spp. Silurus spp. Clarias spp. Ictalurus spp."""|"030272 - Bagre frescos o refrigerados ""Pangasius spp. Silurus spp. Clarias spp. Ictalurus spp."""
172|030273|"Fresca o refrigerada de carpa ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, ..."|"030273 - Fresca o refrigerada de carpa ""Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, ..."
173|030274|"Anguilas ""Anguilla spp."", frescas o refrigeradas"|"030274 - Anguilas ""Anguilla spp."", frescas o refrigeradas"
174|030279|"Perca del Nilo ""Lates niloticus"" y cabezas de serpiente ""Channa spp."" fresca o refrigerada"|"030279 - Perca del Nilo ""Lates niloticus"" y cabezas de serpiente ""Channa spp."" fresca o refrigerada"
175|030281|Cazón fresco o refrigerado y otros tiburones|030281 - Cazón fresco o refrigerado y otros tiburones
176|030282|"Frescos o refrigerados, y rayas ""Rajidae"""|"030282 - Frescos o refrigerados, y rayas ""Rajidae"""
177|030283|"Róbalos de profundidad ""Dissostichus spp."", frescos o refrigerados"|"030283 - Róbalos de profundidad ""Dissostichus spp."", frescos o refrigerados"
178|030284|"Lubina fresca o refrigerada ""Dicentrarchus spp."""|"030284 - Lubina fresca o refrigerada ""Dicentrarchus spp."""
179|030285|"Dorada ""Sparidae"" fresca o refrigerada"|"030285 - Dorada ""Sparidae"" fresca o refrigerada"
180|030289|Pescado fresco o refrigerado, nep|030289 - Pescado fresco o refrigerado, nep
181|030290|Hígados, huevas o lechas comestibles, frescos o refrigerados|030290 - Hígados, huevas o lechas comestibles, frescos o refrigerados
182|030291|Hígados, huevas y lechas|030291 - Hígados, huevas y lechas
183|030292|Aletas de tiburón|030292 - Aletas de tiburón
