Subsector|Afganistán|Albania|Alemania|Andorra|Angola|Anguila|Antigua y Barbuda|Arabia Saudita|Argelia|Argentina|Armenia|Aruba|Australia|Austria|Azerbaiyán|Bahamas|Bahréin|Bangladesh|Barbados|Belice|Benín|Bermudas|Bielorrusia|Bolivia|Bosnia|Botsuana|Brasil|Brunéi|Bulgaria|Burkina Faso|Burundi|Bután|Bélgica|Cabo Verde|Camboya|Camerún|Canadá|Chad|Chile|China|Chipre|Comoras|Congo|Corea del Sur|Costa Rica|Costa de Marfil|Croacia|Cuba|Dinamarca|Dominica|Ecuador|Egipto|El Salvador|Emiratos Árabes Unidos|Eritrea|Eslovaquia|Eslovenia|España|Estados Unidos|Estonia|Etiopía|Filipinas|Finlandia|Fiyi|Francia|Gabón|Gambia|Georgia|Ghana|Gibraltar|Granada|Grecia|Groenlandia|Guam|Guatemala|Guinea|Guinea-Bisáu|Guyana|Haití|Honduras|Hungría|India|Indonesia|Iraq|Irlanda|Irán|Islandia|Islas Caimán|Islas Turcas y Caicos|Israel|Italia|Jamaica|Japón|Jordania|Kazajistán|Kenia|Kirguistán|Kuwait|Laos|Lesoto|Letonia|Liberia|Libia|Lituania|Luxemburgo|Líbano|Macao|Madagascar|Malasia|Maldivas|Malta|Malí|Marruecos|Mauricio|Mauritania|Micronesia|Moldavia|Mongolia|Montenegro|Montserrat|Mozambique|Myanmar|México|Nicaragua|Noruega|Nueva Zelanda|Níger|Omán|Pakistán|Palaos|Palestina|Paraguay|Países Bajos|Perú|Polonia|Portugal|Qatar|Reino Unido|República Centroafricana|República Checa|República Democratica del Congo|República Dominicana|Ruanda|Rumania|Rusia|San Cristóbal Y Nieves|San Marino|Senegal|Serbia|Seychelles|Sierra Leona|Singapur|Siria|Somalia|Sri Lanka|Sudáfrica|Sudán|Suecia|Suiza|Surinam|Tailandia|Taiwán|Tanzania|Tayikistán|Togo|Tokelau|Tonga|Trinidad y Tobago|Turkmenistán|Turquía|Tuvalu|Túnez|Ucrania|Uganda|Uruguay|Uzbekistán|Vanuatu|Venezuela|Vietnam|Yemen|Yibuti|Zambia|Zimbabue
Betunes, abrillantadores y preparaciones similares|0.39139348|0.23721385|0.35021973|0.19977365|0.40288839|0.23912454|0.63215995|0.37867725|0.2392374|0.488424|0.46601409|0.41367787|0.40918022|0.43130136|0.51601756|0.2407123|0.46218085|0.31884372|0.58761984|0.51184845|0.38850638|0.42983288|0.53891015|0.54744458|0.56442261|0.39385453|0.32383144|0.49685168|0.56458616|0.37126425|0.55265141|0.47726065|0.1627627|0.48308885|0.38513303|0.25007641|0.23304561|0.21968588|0.54359686|0.67559993|0.44186473|0.1918568|0.45289853|0.73559624|0.62352657|0.13546537|0.0|0.58704209|0.32899868|0.23630577|0.54945469|0.45751086|0.58511686|0.50711137|0.21185008|0.43796143|0.52184671|0.29445922|0.25272527|0.44305754|0.50027007|0.3519001|0.45980003|0.54752153|0.33280158|0.49133223|0.32290235|0.53976274|0.35153875|0.59001321|0.49243826|0.36299545|0.20363827|0.14786778|0.37225264|0.22286054|0.27608711|0.4813334|0.44712913|0.45779288|0.34157541|0.4503873|0.32562557|0.24638848|0.4294|0.34655091|0.52908444|0.5688743|0.17445797|0.5914259|0.24792367|0.34161013|0.31013125|0.16141686|0.34532177|0.4262073|0.57215756|0.39866042|0.58134317|0.523476|0.44153699|0.44916505|0.0|0.46967208|0.38065663|0.58039021|0.33435106|0.62475836|0.73735058|0.555794|0.40750346|0.21434265|0.39411527|0.53864658|0.068653308|0.15269625|0.47324002|0.50867283|0.57058346|0.62439525|0.33974862|0.43440831|0.3577531|0.56480169|0.46009216|0.40734208|0.26630193|0.43542981|0.52153552|0.32342908|0.52953023|0.49029794|0.32880032|0.46235088|0.40622407|0.33176598|0.35529217|0.29709828|0.16713801|0.44992819|0.3309145|0.51557213|0.61931092|0.40396509|0.40527841|0.224206|0.0|0.37083176|0.47240478|0.36099017|0.47278398|0.7874251|0.23843497|0.35574913|0.4634144|0.3702687|0.21108142|0.41373688|0.35484368|0.38060576|0.61191213|0.88375831|0.51172435|0.51238835|0.32413203|0.52512872|0.25482851|0.511733|0.28629223|0.42714435|0.18636544|0.41901493|0.47938353|0.46964139|0.47555935|0.48474532|0.31759951|0.39395559|0.42412364|0.15127474|0.30670983|0.51470053|0.45073652
Bicicletas|0.40429834|0.27703208|0.75581515|0.65642488|0.50684065|0.6433872|0.35970578|0.26006758|0.44068933|0.43776947|0.29988557|0.53221756|0.6654827|0.88420367|0.3467766|0.20502445|0.38934398|0.29104459|0.49469191|0.70796514|0.50106359|0.75784695|0.63391322|0.55690902|0.50451255|0.46794364|0.4101764|0.53803986|0.47610906|0.56776309|0.59045148|0.30947036|0.61841476|0.41498536|0.54592168|0.3567802|0.61056161|0.59971458|0.58764625|0.10762691|0.59806573|0.62116456|0.53018266|0.5219717|0.70439041|0.38107365|0.0|0.71103799|0.78444171|0.23990859|0.62885338|0.23933354|0.40856403|0.39090478|0.68591279|0.5554285|0.78162521|0.67184156|0.60000259|0.68895382|0.41975668|0.37668926|0.83079481|0.56696808|0.65640193|0.61146426|0.62590563|0.3628526|0.46796906|0.74080151|0.45476747|0.47916812|0.42146724|0.14786778|0.49495512|0.34229323|0.30679485|0.51933712|0.17730664|0.57265985|0.45752409|0.51557589|0.36754102|0.46358293|0.60724628|0.28248835|0.58702099|0.40237644|0.36321402|0.54943389|0.42624223|0.38011134|0.50357807|0.34921533|0.54379809|0.59323347|0.51993883|0.24462625|0.36042166|0.28348643|0.55043042|0.20875591|0.0|0.45781827|0.69624603|0.50073147|0.47586063|0.47872883|0.5897944|0.52466071|0.43869197|0.45833379|0.3845638|0.70351946|0.63426065|0.53834218|0.34657404|0.33032817|0.49171945|0.29763293|0.65138757|0.6169287|0.42884564|0.42515063|0.51045465|0.64032066|0.49123996|0.40990615|0.21501571|0.15770821|0.28651112|0.62400919|0.7213347|0.5070712|0.44863328|0.38206619|0.46400207|0.70953375|0.18101415|0.6517781|0.49494457|0.46770221|0.51041901|0.37271148|0.3615036|0.17314573|0.0|0.42676529|0.28177556|0.32894653|0.25449875|0.66121364|0.28113943|0.32641953|0.1940953|0.43623722|0.39988357|0.6827479|0.76971447|0.53293419|0.32125059|0.089039192|0.54975253|0.55225259|0.51938218|0.54849386|0.54933989|0.55016941|0.28932294|0.29188848|0.49196613|0.25938532|0.30664688|0.6585499|0.5963496|0.52122778|0.59878945|0.67117667|0.1745674|0.40924188|0.46124008|0.60471141|0.62069207
Bisutería|0.57601941|0.21674486|0.42569125|0.39091206|0.35813993|0.43690598|0.46402401|0.56028807|0.31665349|0.48085654|0.46023756|0.58217645|0.46787101|0.64982271|0.33671957|0.3006309|0.52372205|0.52036381|0.2324006|0.41083437|0.39085948|0.61772346|0.075340204|0.48935145|0.35428923|0.44269735|0.33870274|0.70915627|0.54593968|0.44261974|0.45200026|0.22716555|0.20190278|0.37012807|0.36347747|0.47878009|0.39756644|0.73970002|0.43375224|0.51475382|0.54179621|0.1492939|0.41856104|0.56257761|0.47410029|0.40391362|0.0|0.19685364|0.35121524|0.23309843|0.49622923|0.39127731|0.48098475|0.67520005|0.0088910162|0.36014616|0.41900232|0.50329471|0.39220554|0.25820947|0.2626681|0.24191296|0.33432955|0.57170326|0.60001904|0.31667835|0.21490097|0.34691536|0.43328276|0.52279693|0.50917089|0.4168497|0.58195901|0.97025597|0.48040032|0.32408771|0.097205333|0.28759566|0.3665432|0.32529792|0.33417416|0.31651825|0.26417011|0.47404355|0.54171342|0.09986487|0.49500144|0.56319028|0.2623632|0.3790794|0.4238331|0.25372684|0.57579267|0.27280235|0.35842437|0.33292133|0.12773839|0.59481108|0.15164642|0.23899323|0.3415361|0.2379965|0.0|0.34193736|0.44907707|0.40955737|0.75259376|0.23629859|0.49784499|0.49459997|0.56316894|0.55522549|0.29712439|0.63713616|0.50070065|0.36896357|0.26429799|0.42047787|0.43114007|0.42813247|0.26268572|0.19835538|0.34009987|0.34326524|0.35084647|0.41002437|0.48165262|0.37888387|0.24479926|0.38463563|0.49481586|0.57311058|0.45006686|0.51755303|0.31979561|0.53595376|0.52395064|0.5548802|0.20859122|0.34033626|0.50028998|0.43797499|0.30701864|0.0|0.3351382|0.33353251|0.0|0.36597267|0.26802954|0.33612967|0.39300406|0.57321316|0.2636885|0.36324349|0.35640779|0.30706322|0.70708096|0.40595746|0.58464813|0.29877579|0.45077986|0.75389671|0.36855364|0.23304987|0.25390932|0.26964661|0.25268075|0.31396562|0.14358518|0.41331032|0.45409212|0.3312943|0.27135062|0.41238031|0.3134594|0.1771609|0.28215057|0.28563005|0.30710852|0.35090441|0.4511978|0.33968127|0.27077314
Bordados|0.62610853|0.24790229|0.28019199|0.09911789|0.12502678|0.17127863|0.11199109|0.10973041|0.44318342|0.24938241|0.25234836|0.20314908|0.27023923|0.29974499|0.15634546|0.09172038|0.14242521|0.49476963|0.20617536|0.080233902|0.45072043|0.29589102|0.51830071|0.29713166|0.36979249|0.24864729|0.42128688|0.16870873|0.50117671|0.22235879|0.1193924|0.074958086|0.11217085|0.041692112|0.45698947|0.46019846|0.24404778|0.70301348|0.20451984|0.28834143|0.16600023|0.026976349|0.092804953|0.20246601|0.23492542|0.45723397|0.0|0.21410015|0.26109546|0.12300162|0.25535777|0.30588746|0.35670519|0.52381915|0.22541583|0.19937864|0.17127942|0.26484269|0.27453125|0.18478191|0.15813962|0.24445295|0.29274148|0.16363287|0.38977557|0.19650356|0.14047359|0.048949987|0.45914388|0.15716627|0.1092793|0.23442492|0.20029563|0.14786778|0.62425923|0.61569327|0.25594002|0.080493368|0.23044768|0.23121907|0.26865026|0.25330377|0.36236006|0.61693478|0.209135|0.18701124|0.1620298|0.081350446|0.11030771|0.32951653|0.29590285|0.0872913|0.32707828|0.30323902|0.12832469|0.23176453|0.67333877|0.31168187|0.32509875|0.17221445|0.17306361|0.082072571|0.0|0.2044086|0.13675338|0.59575999|0.18690598|0.51165193|0.19353718|0.096657902|0.25209242|0.53186631|0.66659498|0.27339992|0.34261751|0.45294237|0.23201473|0.12855141|0.045487948|0.43559533|0.18406513|0.3491686|0.3066355|0.29520419|0.24014524|0.25551265|0.30780217|0.21145469|0.27012163|0.12022446|0.3202219|0.26193529|0.20550048|0.23538537|0.26072663|0.34566242|0.084731564|0.29417574|0.052114442|0.17990363|0.078031287|0.13976014|0.29048082|0.31320453|0.20999172|0.20803221|0.0|0.66773432|0.32180369|0.1375389|0.30152056|0.25628614|0.39503366|0.40826434|0.62900501|0.31975156|0.43358934|0.2614741|0.36995959|0.10446373|0.40623438|0.247859|0.13353224|0.072301112|0.54930168|0.2393508|0.21685402|0.25612015|0.19152275|0.35647535|0.10641381|0.64088041|0.28197891|0.1397469|0.1175072|0.28698683|0.27217245|0.20838712|0.35681027|0.57024556|0.28936648|0.16492802|0.119626
Cables y redes|0.23309502|0.14177789|0.10885965|0.26672041|0.083034985|0.18706563|0.064929128|0.087483354|0.42911994|0.56877065|0.36020559|0.01540342|0.060468435|0.10144404|0.10201869|0.055254888|0.043401204|0.58893681|0.034147948|0.043680295|0.070396438|0.019056931|0.45334476|0.26365334|0.12284975|0.14492221|0.29980066|0.032935381|0.42049253|0.52656198|0.45601732|0.0|0.14028734|0.098259121|0.22197381|0.63506067|0.093331538|0.11542556|0.24489245|0.31170082|0.042365555|0.026976349|0.44970393|0.28684759|0.12891719|0.53226924|0.0|0.48210967|0.05794923|0.11046091|0.37908125|0.31208599|0.11651108|0.64524996|0.053515859|0.047633365|0.042155258|0.13581862|0.067832895|0.03637597|0.24788901|0.4262566|0.058174439|0.015592748|0.086578839|0.042657141|0.043140102|0.096629143|0.47810686|0.43266797|0.0527099|0.18957669|0.16871114|0.14786778|0.22913945|0.089096323|0.24440831|0.034959957|0.55898571|0.20734207|0.36588818|0.5254966|0.59752476|0.2005482|0.031231593|0.6888966|0.05488842|0.0|0.0|0.14579783|0.16245697|0.033647977|0.077346787|0.2928136|0.21071294|0.83082336|0.036909338|0.041371092|0.38658702|0.0036074203|0.124446|0.011440951|0.0|0.52212155|0.050991222|0.48398924|0.032830872|0.060153387|0.099913076|0.0|0.025316458|0.085424557|0.18482344|0.061248496|0.12863073|0.071785852|0.1135058|0.16234025|0.031914331|0.10867366|0.27719712|0.37819466|0.14666297|0.12746768|0.066352621|0.053911231|0.058137268|0.068656921|0.70907623|0.13136514|0.18557766|0.53391689|0.062275872|0.13858908|0.24193977|0.15451993|0.0077184611|0.14938559|0.052114442|0.21595883|0.014663807|0.12054974|0.1422257|0.44233114|0.28295213|0.12346625|0.0|0.34242445|0.42536247|0.033890374|0.11976294|0.37559891|0.37787062|0.068053395|0.17229587|0.47525698|0.27956292|0.06834124|0.10034417|0.15525788|0.26492447|0.27516803|0.65219688|0.063674867|0.19531032|0.37842348|0.054958545|0.10240734|0.062703684|0.55887228|0.10641381|0.42826039|0.38120288|0.71202749|0.19010068|0.3820166|0.1639542|0.3741264|0.46070355|0.37225893|0.14927882|0.73797488|0.31383806
Cacao|0.040976573|0.020419519|0.73042619|0.061378993|0.12282535|0.10331649|0.10158595|0.10520157|0.16316095|0.39948806|0.40408257|0.02601511|0.17683935|0.48663807|0.12927932|0.0081677567|0.12245929|0.072391286|0.055727713|0.02169884|0.13894176|0.082517855|0.38079846|0.050800487|0.15447825|0.0067554004|0.63822842|0.0023312338|0.66162151|0.01226035|0.042618953|0.086753696|0.80008137|0.039281175|0.058267917|0.0|0.4274689|0.37696439|0.13997486|0.23185807|0.020796265|0.057240665|0.0|0.091208741|0.15940765|0.0091296462|0.0|0.094074205|0.21034764|0.033652406|0.03156212|0.019600753|0.14912099|0.099965841|0.053515859|0.13225833|0.09250237|0.4267787|0.42422855|0.50436008|0.16190398|0.20482847|0.12959822|0.0|0.5428229|0.0|0.29678944|0.038241711|0.0045565073|0.050194193|0.0037156895|0.11764766|0.10170615|0.14786778|0.21871157|0.035418075|0.065323547|0.064084917|0.0|0.10789759|0.084889844|0.30785048|0.77097476|0.012294173|0.15440151|0.38254735|0.079632491|0.023033395|0.43990716|0.12662262|0.47859967|0.0027900399|0.1475974|0.039955594|0.20422004|0.042162731|0.058786873|0.1256832|0.043165818|0.065603711|0.088105924|0.0|0.0|0.15591198|0.17482844|0.1949538|0.095496967|0.0|0.96269655|0.0|0.1826604|0.013841856|0.061105937|0.036083281|0.058810309|0.071785852|0.053345613|0.037612673|0.10971262|0.10867366|0.1429946|0.043594539|0.19059181|0.069829598|0.11561808|0.16989626|0.25540867|0.093403012|0.17018041|0.0497039|0.21765301|0.036861382|0.83895016|0.0|0.14733276|0.062172771|0.026224028|0.37409604|0.013201391|0.1622483|0.12284286|0.033828817|0.010459456|0.11016554|0.48196507|0.044779785|0.0|0.0|0.2466162|0.036774699|0.10395496|0.83389318|0.016476933|0.10976421|0.033925649|0.16024666|0.051728889|0.23396456|0.55038959|0.037298687|0.10555242|0.15343748|0.0085968394|0.034208857|0.081287466|0.16461791|0.016949184|0.0|0.013303165|0.73517132|0.10641381|0.25526181|0.53658187|0.064296573|0.057354353|0.12620899|0.06327232|0.004796586|0.097457588|0.067339465|0.0|0.013080423|0.037557323
Café verde|0.10754436|0.50507122|0.87796259|0.13838565|0.24054433|0.062965885|0.53867358|0.58590877|0.64952779|0.47368568|0.72582221|0.46398538|0.67762971|0.37497747|0.26147375|0.075538769|0.45208055|0.16346715|0.40216571|0.32447201|0.10199393|0.40320724|0.52110374|0.093482994|0.61112863|0.088177621|0.0|0.32321513|0.81042522|0.58061135|0.0|0.11437984|0.73852479|0.70793247|0.31227297|0.10129784|0.72655499|0.0|0.26607925|0.52642095|0.39065349|0.42702782|0.38948834|0.82141614|0.50810963|0.053122178|0.0|0.54423785|0.53351784|0.35662606|0.070073344|0.77492368|0.2166222|0.56031823|0.31716707|0.41250187|0.64326966|0.66172695|0.71954733|0.29371345|0.0|0.41246575|0.74606204|0.25395644|0.59058285|0.059076861|0.34347892|0.57697523|0.10762288|0.46760803|0.40017205|0.74158615|0.27481246|0.018652897|0.061948493|0.091292478|0.28625214|0.12919854|0.079783179|0.0|0.2987659|0.52246773|0.31731099|0.14371657|0.42543256|0.73474693|0.4443804|0.68706453|0.22667077|0.54701614|0.67834198|0.055359006|0.70262885|0.74453366|0.23347312|0.57276225|0.18653178|0.50673461|0.0055823857|0.10347787|0.33204651|0.069281355|0.0|0.39327174|0.3213754|0.73209721|0.41033399|0.2558147|0.75854319|0.69560492|0.29324067|0.25512522|0.71544647|0.17980567|0.53832823|0.071785852|0.33204764|0.41293335|0.40300417|0.15828043|0.069986306|0.15461281|0.13953912|0.0|0.50649536|0.58970881|0.3258431|0.50903004|0.39822376|0.072528064|0.66452825|0.17403913|0.5035736|0.074230939|0.55129993|0.61826658|0.48801601|0.5382604|0.18381299|0.34868145|0.26180315|0.54148209|0.18091348|0.41963696|0.66173148|0.0|0.0|0.50617099|0.65350282|0.52880085|0.18517938|0.34800869|0.68579578|0.23611394|0.23791429|0.51228666|0.71909332|0.73443651|0.94149232|0.096117325|0.35205093|0.70933843|0.38561738|0.25809628|0.058970567|0.37842348|0.014515847|0.46381414|0.10761231|0.51741034|0.32982981|0.70801288|0.63730001|0.083492115|0.54980934|0.33653474|0.25060999|0.096420392|0.22736|0.23499668|0.11227409|0.38317615|0.0056168018
Calcetería|0.43385738|0.52007389|0.56089163|0.39673412|0.18225554|0.1938889|0.25939041|0.27956054|0.40549061|0.1836217|0.43212122|0.2731424|0.40630186|0.52978003|0.49124077|0.15425667|0.27840757|0.18004277|0.28948438|0.39392734|0.19355932|0.50842214|0.4394635|0.27683085|0.65950567|0.29036582|0.45118934|0.33335203|0.33140033|0.13900617|0.37674838|0.33710364|0.39065969|0.2212559|0.12429485|0.3348676|0.34767818|0.38433328|0.4505918|0.10077928|0.40390927|0.29931805|0.17345059|0.23658948|0.36828434|0.19604889|0.0|0.1829772|0.56247723|0.59206665|0.23141479|0.1249596|0.318149|0.32823157|0.27446374|0.44311577|0.3576968|0.35790944|0.52026379|0.46337697|0.19978121|0.12058248|0.41589266|0.22855902|0.49111927|0.25500822|0.18567954|0.58062482|0.36133921|0.42806154|0.36438856|0.55444396|0.49931204|0.28170913|0.3289828|0.33232743|0.2070417|0.28249532|0.46514726|0.3642073|0.43771863|0.24082373|0.16252629|0.38782802|0.41938579|0.15336297|0.57883584|0.2327262|0.052686997|0.43641117|0.33746013|0.34389985|0.45955181|0.34429941|0.66780543|0.34635305|0.7708599|0.44454941|0.1484741|0.31473011|0.41173059|0.3447997|0.0|0.26397619|0.39938974|0.29689825|0.4495042|0.16853929|0.19975457|0.25236595|0.41945392|0.14385022|0.23611212|0.41260022|0.43656456|0.35770029|0.49614292|0.35199994|0.38687754|0.56227714|0.22722608|0.15239489|0.38807344|0.32664442|0.34581858|0.35071221|0.16041848|0.2368491|0.17925584|0.12306419|0.46121079|0.21488926|0.43781161|0.4465664|0.4409005|0.26282743|0.31314725|0.46050292|0.17034663|0.50797141|0.20851655|0.28649777|0.34111154|0.31631011|0.56188291|0.19919032|0.0|0.15554252|0.29806697|0.19369413|0.42334139|0.18637246|0.16803443|0.35276443|0.14154702|0.39962357|0.43939087|0.55726463|0.50804174|0.24693853|0.11695018|0.1956448|0.37074876|0.34660715|0.22891331|0.11607222|0.39190316|0.26732701|0.2686432|0.11096096|0.27482006|0.39365914|0.40344471|0.30926633|0.38677478|0.22814545|0.30905214|0.59212208|0.11170207|0.45756882|0.26217079|0.31399268|0.17841849
Calzado|0.60109669|0.64559853|0.88540548|0.62779248|0.5757069|0.56838149|0.49303776|0.66096807|0.712152|0.65758419|0.79307407|0.64439702|0.71636146|0.93444359|0.69393945|0.44897673|0.56716001|0.53555167|0.48408115|0.91020125|0.74130809|0.71438181|0.81470466|0.61040783|0.65325034|0.74911416|0.30961901|0.69636905|0.77903652|0.64467275|0.63981622|0.64442921|0.46769136|0.38989317|0.594993|0.75410998|0.55330861|0.81969607|0.66917288|0.52360004|0.83191478|0.73951042|0.55309743|0.84532583|0.62016726|0.66032064|0.0|0.36739305|0.79488736|0.61374265|0.71688914|0.43068033|0.70377803|0.72893667|0.41306931|0.61542416|0.82434404|0.77902508|0.7748158|0.73760772|0.56121284|0.49076268|0.59876883|0.57930851|0.85901058|0.67146444|0.67425543|0.69943833|0.81489003|0.35276237|0.59907007|0.85990107|0.68982434|0.60367209|0.72739351|0.77959633|0.71925414|0.50784814|0.74568403|0.61100525|0.75584322|0.49471787|0.62482148|0.68929988|0.79073691|0.2022191|0.72221804|0.6361208|0.42066196|0.79520607|0.8455385|0.73445988|0.60858434|0.76029468|0.81210369|0.67576277|0.77761585|0.80599403|0.42879048|0.82288432|0.76266301|0.70159692|0.0|0.74613655|0.75914252|0.62585902|0.76453662|0.42503369|0.47513571|0.64293581|0.58064491|0.71586162|0.57213581|0.69051504|0.73600459|0.69087464|0.69248331|0.67317307|0.71660781|0.368444|0.63803053|0.40364254|0.61186242|0.60656816|0.71474922|0.69703913|0.65318|0.63965064|0.29598701|0.35472465|0.040285088|0.56505406|0.84138668|0.74952257|0.82661653|0.43047804|0.77712464|0.68546516|0.44615182|0.78679585|0.56861091|0.42301321|0.77325779|0.66106445|0.76803029|0.52008855|0.0|0.5454213|0.4635846|0.66539896|0.83667397|0.57992256|0.39798588|0.60197169|0.28884125|0.74971533|0.76517141|0.83370525|0.89272761|0.48884869|0.51352274|0.53965902|0.62569726|0.58813787|0.72406256|0.13702588|0.64719427|0.51496798|0.6622268|0.35021701|0.65124756|0.56632912|0.72336429|0.58421081|0.61526209|0.30182451|0.79479462|0.87029147|0.44451082|0.74964368|0.79204381|0.58328146|0.60268772
Camarones, crustáceos, langostinos y moluscos|0.19284558|0.71347928|0.18814671|0.44544575|0.031048832|0.41288695|0.53362626|0.13830355|0.089824982|0.11247425|0.20041108|0.62361586|0.24515645|0.19758569|0.12102543|0.21030697|0.24699675|0.11882055|0.42435879|0.22284263|0.19080165|0.38464195|0.33199483|0.14637193|0.20996964|0.13881341|0.10623802|0.6637001|0.15484756|0.17390265|0.082095541|0.17434359|0.43798882|0.36647344|0.23320647|0.15670304|0.43239695|0.26465648|0.21272114|0.68974996|0.49374658|0.22288726|0.11221067|0.77343392|0.23175946|0.225263|0.0|0.028570618|0.47310695|0.25808224|0.026860872|0.60074687|0.29880932|0.54091823|0.33556527|0.093236357|0.37613431|0.81726325|0.72863865|0.17596716|0.13825607|0.20251802|0.24498525|0.19138949|0.5482235|0.14188477|0.10021127|0.19816446|0.13660076|0.50660747|0.34623301|0.6232444|0.45873082|0.90198511|0.3519465|0.11322026|0.20087758|0.17109784|0.0540311|0.28345713|0.10220398|0.21238288|0.29873496|0.11744547|0.19856709|0.17765787|0.70900595|0.46590951|0.70808733|0.16579401|0.69135731|0.45627666|0.58079231|0.29508394|0.18337087|0.072396874|0.10380486|0.43129212|0.24991386|0.11427046|0.2354953|0.27657017|0.0|0.251762|0.44082728|0.22722349|0.65383029|0.15720384|0.55836159|0.62134206|0.24406354|0.28480682|0.36893967|0.43080866|0.31509537|0.34766623|0.31089449|0.17966071|0.51027673|0.33869699|0.10106762|0.11153468|0.077343822|0.12096541|0.23225506|0.22033265|0.16519532|0.23093635|0.01667414|0.45276135|0.32264155|0.16579127|0.28216177|0.27753085|0.15994069|0.6238755|0.38144374|0.21702036|0.2870222|0.1872544|0.096847467|0.43271077|0.12014627|0.17693689|0.30095339|0.45778495|0.0|0.14605826|0.15768008|0.40067786|0.10614711|0.59907496|0.1875761|0.084224805|0.14753444|0.16856873|0.03841557|0.29025653|0.29163074|0.056929756|0.54186583|0.68633646|0.016466672|0.13302091|0.14021425|0.32001892|0.54169965|0.29570204|0.16838545|0.15278572|0.35409528|0.095371455|0.38435525|0.10483284|0.096079022|0.11648729|0.25560689|0.19600405|0.43472812|0.077600166|0.14114091|0.18888521|0.1407364
Camisas|0.37751031|0.489086|0.69498843|0.43834618|0.5034135|0.65188193|0.52715462|0.50112236|0.20189187|0.47112453|0.55662405|0.62806684|0.64917886|0.66590393|0.48639107|0.33630699|0.57717818|0.039485358|0.5429076|0.79006964|0.38216203|0.88599479|0.44722596|0.47197872|0.56700468|0.41106027|0.56143939|0.76003039|0.33863288|0.49633604|0.39907879|0.71042597|0.33121458|0.43305349|0.32360533|0.39804757|0.53406608|0.1908327|0.53393072|0.46134502|0.91836822|0.58407193|0.48675773|0.68438333|0.66985965|0.26759568|0.0|0.41194373|0.60248494|0.55107963|0.57512164|0.4787938|0.46638682|0.72318828|0.51995236|0.38907689|0.48957983|0.6965096|0.66158772|0.39868927|0.3337014|0.31544641|0.47909474|0.5085665|0.64543343|0.39527532|0.15898523|0.55405509|0.35792273|0.38395372|0.55524445|0.65780383|0.30877995|0.73551369|0.39243799|0.23229814|0.19022082|0.45066082|0.40892828|0.60273284|0.54086834|0.55844802|0.39920023|0.43657205|0.77466762|0.0028737644|0.68094909|0.57340527|0.50987995|0.70216167|0.57820052|0.35973591|0.68521267|0.2207197|0.56384075|0.41851306|0.62546253|0.66977453|0.12098165|0.35770231|0.48965478|0.21675292|0.0|0.3516832|0.50664896|0.72057688|0.73281997|0.22673146|0.51174843|0.74941182|0.60324794|0.28200689|0.32196182|0.42298344|0.46876997|0.4905681|0.38796613|0.38215223|0.63052082|0.4944407|0.38349277|0.31600255|0.56424057|0.38772938|0.50211722|0.58146626|0.4184044|0.45675972|0.25093988|0.48623055|0.38556778|0.5043546|0.71283627|0.37445951|0.69473857|0.45362997|0.55723768|0.71320945|0.36072907|0.51557744|0.45863545|0.46306545|0.53571439|0.39746118|0.50824893|0.32535845|0.0|0.27016664|0.53237528|0.34693974|0.24302217|0.58253241|0.20495376|0.5980646|0.32200301|0.6453135|0.65592766|0.65340954|0.76548898|0.3887859|0.35434034|0.57945162|0.46939951|0.36011136|0.60090303|0.18831551|0.54716313|0.5449205|0.2596955|0.32014591|0.29026744|0.26500434|0.47224748|0.55659562|0.58426434|0.33161467|0.59268749|0.65295589|0.23891515|0.34753573|0.33182734|0.52334696|0.30578771
